incumbent,candidate,metric,incumbent_reps,within_pairs_per_cell,cross_pairs_per_cell,w_a_mean,w_a_sd,c_ab_mean,delta_mean,delta_sd,ci_lower,ci_upper,ci_width,verdict_ci_margin_0.10,modal_replicate_class,replicate_class_stability,p_class_flip_from_sampling
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.technical_craft,5,10,25,0.684379,0.132001,0.594274,-0.090105,0.168736,-0.441274,0.209478,0.650752,inconclusive,rejected,0.5873,0.4127
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.execution_excellence,5,10,25,0.649949,0.133561,0.565976,-0.083973,0.169933,-0.426201,0.22624,0.652441,inconclusive,rejected,0.5948,0.4052
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.customer_centric_outcomes,5,10,25,0.72956,0.132358,0.610499,-0.119061,0.145416,-0.400408,0.163039,0.563447,inconclusive,rejected,0.6102,0.3898
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.accelerating_teams,5,10,25,0.843458,0.112117,0.70985,-0.133608,0.124269,-0.388245,0.093351,0.481596,inconclusive,rejected,0.606,0.394
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.opportunity_multiset,5,10,25,0.564562,0.129324,0.480551,-0.08401,0.109065,-0.300019,0.118038,0.418057,inconclusive,within_margin,0.5252,0.4748
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.opportunity_sequence,5,10,25,0.498533,0.144273,0.418518,-0.080015,0.10482,-0.287259,0.120063,0.407322,inconclusive,within_margin,0.5437,0.4563
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.strengths,5,10,25,0.204123,0.066419,0.115018,-0.089106,0.068278,-0.236416,0.023368,0.259784,inconclusive,within_margin,0.598,0.402
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.opportunities,5,10,25,0.088944,0.050318,0.054915,-0.034029,0.054745,-0.161683,0.044194,0.205877,inconclusive,within_margin,0.8755,0.1245
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.areas_of_concern,5,10,25,0.088949,0.058262,0.039502,-0.049447,0.068083,-0.193548,0.074375,0.267923,inconclusive,within_margin,0.7827,0.2173
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.recommendations,5,10,25,0.057359,0.050737,0.006581,-0.050777,0.05099,-0.175886,0.009526,0.185412,inconclusive,within_margin,0.8405,0.1595
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M3.summary,5,10,25,0.755381,0.029461,0.716748,-0.038633,0.031276,-0.101321,0.021086,0.122407,inconclusive,within_margin,0.9718,0.0282
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.technical_craft,6,15,30,0.687044,0.124078,0.591702,-0.095342,0.157636,-0.410952,0.196687,0.607639,inconclusive,rejected,0.5843,0.4157
