tasks,metric,delta_mean,delta_sd,ci_lower,ci_upper,ci_width,ci_width_vs_8tasks,analytic_sqrt_scaling,verdict_margin_0.10
8,M1.technical_craft,-0.222189,0.067478,-0.358906,-0.093598,0.265308,1.0,1.0,inconclusive
8,M1.execution_excellence,-0.257369,0.062218,-0.379685,-0.134709,0.244976,1.0,1.0,rejected
8,M1.customer_centric_outcomes,-0.084746,0.052542,-0.194217,0.011179,0.205396,1.0,1.0,inconclusive
8,M1.accelerating_teams,-0.111567,0.058011,-0.235157,-0.007425,0.227731,1.0,1.0,inconclusive
8,M1.opportunity_multiset,-0.389155,0.046221,-0.482102,-0.301476,0.180626,1.0,1.0,rejected
8,M1.opportunity_sequence,-0.354511,0.051951,-0.459377,-0.255143,0.204234,1.0,1.0,rejected
8,M2.strengths,-0.156329,0.025662,-0.206556,-0.106367,0.100189,1.0,1.0,rejected
8,M2.opportunities,-0.098016,0.022658,-0.14353,-0.055395,0.088135,1.0,1.0,inconclusive
8,M2.areas_of_concern,-0.214456,0.045991,-0.309591,-0.126656,0.182936,1.0,1.0,rejected
8,M2.recommendations,-0.045348,0.013216,-0.074191,-0.022397,0.051794,1.0,1.0,demonstrated
8,M3.summary,-0.094485,0.011506,-0.117096,-0.072409,0.044687,1.0,1.0,inconclusive
20,M1.technical_craft,-0.224221,0.043821,-0.309328,-0.135814,0.173514,0.654,0.6325,rejected
20,M1.execution_excellence,-0.257159,0.039308,-0.335225,-0.18087,0.154355,0.6301,0.6325,rejected
20,M1.customer_centric_outcomes,-0.085253,0.033633,-0.152137,-0.021609,0.130528,0.6355,0.6325,inconclusive
20,M1.accelerating_teams,-0.110245,0.036156,-0.184736,-0.043066,0.14167,0.6221,0.6325,inconclusive
20,M1.opportunity_multiset,-0.390238,0.029356,-0.447014,-0.332742,0.114273,0.6326,0.6325,rejected
20,M1.opportunity_sequence,-0.356863,0.032177,-0.42002,-0.296129,0.123892,0.6066,0.6325,rejected
20,M2.strengths,-0.156304,0.016253,-0.187302,-0.123688,0.063614,0.6349,0.6325,rejected
20,M2.opportunities,-0.09787,0.013975,-0.125725,-0.071066,0.054658,0.6202,0.6325,inconclusive
20,M2.areas_of_concern,-0.215224,0.028806,-0.274464,-0.161664,0.1128,0.6166,0.6325,rejected
20,M2.recommendations,-0.045278,0.008282,-0.063174,-0.0306,0.032575,0.6289,0.6325,demonstrated
20,M3.summary,-0.094446,0.007235,-0.109184,-0.080606,0.028577,0.6395,0.6325,inconclusive
40,M1.technical_craft,-0.223878,0.030565,-0.28404,-0.166038,0.118002,0.4448,0.4472,rejected
40,M1.execution_excellence,-0.257816,0.028383,-0.313666,-0.20289,0.110776,0.4522,0.4472,rejected
40,M1.customer_centric_outcomes,-0.085727,0.023731,-0.134029,-0.040626,0.093403,0.4547,0.4472,inconclusive
40,M1.accelerating_teams,-0.110816,0.026054,-0.162358,-0.062318,0.10004,0.4393,0.4472,inconclusive
40,M1.opportunity_multiset,-0.390185,0.020741,-0.432209,-0.350774,0.081435,0.4508,0.4472,rejected
40,M1.opportunity_sequence,-0.356911,0.023176,-0.403203,-0.312985,0.090218,0.4417,0.4472,rejected
40,M2.strengths,-0.157238,0.011452,-0.179971,-0.135213,0.044758,0.4467,0.4472,rejected
40,M2.opportunities,-0.098077,0.010137,-0.118338,-0.078753,0.039585,0.4491,0.4472,inconclusive
40,M2.areas_of_concern,-0.215008,0.020286,-0.255535,-0.17641,0.079124,0.4325,0.4472,rejected
40,M2.recommendations,-0.045461,0.006103,-0.057769,-0.034067,0.023702,0.4576,0.4472,demonstrated
40,M3.summary,-0.094438,0.005143,-0.104395,-0.08442,0.019975,0.447,0.4472,inconclusive
60,M1.technical_craft,-0.22442,0.024668,-0.2736,-0.177192,0.096408,0.3634,0.3651,rejected
60,M1.execution_excellence,-0.257349,0.023602,-0.304282,-0.212876,0.091406,0.3731,0.3651,rejected
60,M1.customer_centric_outcomes,-0.084943,0.019181,-0.124311,-0.04919,0.075121,0.3657,0.3651,inconclusive
60,M1.accelerating_teams,-0.110609,0.021102,-0.153109,-0.069777,0.083332,0.3659,0.3651,inconclusive
60,M1.opportunity_multiset,-0.391221,0.016631,-0.423856,-0.359798,0.064058,0.3546,0.3651,rejected
60,M1.opportunity_sequence,-0.357815,0.018529,-0.394453,-0.321915,0.072538,0.3552,0.3651,rejected
60,M2.strengths,-0.156853,0.009308,-0.174572,-0.138701,0.035871,0.358,0.3651,rejected
60,M2.opportunities,-0.098253,0.008235,-0.114498,-0.082942,0.031557,0.3581,0.3651,inconclusive
60,M2.areas_of_concern,-0.215623,0.016948,-0.249393,-0.182727,0.066666,0.3644,0.3651,rejected
60,M2.recommendations,-0.045441,0.004873,-0.055727,-0.036389,0.019338,0.3734,0.3651,demonstrated
60,M3.summary,-0.094365,0.004265,-0.10264,-0.086189,0.016451,0.3681,0.3651,inconclusive
80,M1.technical_craft,-0.224976,0.021683,-0.267249,-0.182531,0.084718,0.3193,0.3162,rejected
80,M1.execution_excellence,-0.257268,0.019999,-0.296966,-0.219137,0.077829,0.3177,0.3162,rejected
80,M1.customer_centric_outcomes,-0.08518,0.01659,-0.119481,-0.05428,0.065201,0.3174,0.3162,inconclusive
80,M1.accelerating_teams,-0.110291,0.018056,-0.146877,-0.07577,0.071107,0.3122,0.3162,inconclusive
