scenario,n_tasks,p_w,p_c,heterogeneity,true_delta,method,mean_estimate,bias,empirical_se,coverage_95,noncoverage_rate,mc_se_coverage,mean_ci_width,n_sim
T20_pw0.85_pc0.85_h0.1,20,0.85,0.85,0.1,0.0,A_proposed_offdiag_cluster,6.4e-05,6.4e-05,0.026391,0.9885,0.0115,0.0024,0.151106,2000
T20_pw0.85_pc0.85_h0.1,20,0.85,0.85,0.1,0.0,B_naive_offdiag_pairwise,6.4e-05,6.4e-05,0.026391,0.8465,0.1535,0.0081,0.075265,2000
T20_pw0.85_pc0.85_h0.1,20,0.85,0.85,0.1,0.0,C_diagonal_contaminated_cluster,-0.033411,-0.033411,0.023706,0.7405,0.2595,0.0098,0.126453,2000
T20_pw0.85_pc0.85_h0.175,20,0.85,0.85,0.175,0.0,A_proposed_offdiag_cluster,0.001027,0.001027,0.034942,0.9815,0.0185,0.003,0.169724,2000
T20_pw0.85_pc0.85_h0.175,20,0.85,0.85,0.175,0.0,B_naive_offdiag_pairwise,0.001027,0.001027,0.034942,0.722,0.278,0.01,0.077127,2000
T20_pw0.85_pc0.85_h0.175,20,0.85,0.85,0.175,0.0,C_diagonal_contaminated_cluster,-0.03479,-0.03479,0.031178,0.7495,0.2505,0.0097,0.144471,2000
T20_pw0.85_pc0.85_h0.25,20,0.85,0.85,0.25,0.0,A_proposed_offdiag_cluster,-0.001673,-0.001673,0.042821,0.9715,0.0285,0.0037,0.193318,2000
T20_pw0.85_pc0.85_h0.25,20,0.85,0.85,0.25,0.0,B_naive_offdiag_pairwise,-0.001673,-0.001673,0.042821,0.651,0.349,0.0107,0.080226,2000
T20_pw0.85_pc0.85_h0.25,20,0.85,0.85,0.25,0.0,C_diagonal_contaminated_cluster,-0.041248,-0.041248,0.038943,0.736,0.264,0.0099,0.165019,2000
T20_pw0.85_pc0.7_h0.1,20,0.85,0.7,0.1,-0.15,A_proposed_offdiag_cluster,-0.149294,0.000706,0.028978,0.9945,0.0055,0.0017,0.166687,2000
T20_pw0.85_pc0.7_h0.1,20,0.85,0.7,0.1,-0.15,B_naive_offdiag_pairwise,-0.149294,0.000706,0.028978,0.8535,0.1465,0.0079,0.084673,2000
T20_pw0.85_pc0.7_h0.1,20,0.85,0.7,0.1,-0.15,C_diagonal_contaminated_cluster,-0.182867,-0.032867,0.026139,0.8235,0.1765,0.0085,0.144528,2000
T20_pw0.85_pc0.7_h0.175,20,0.85,0.7,0.175,-0.15,A_proposed_offdiag_cluster,-0.139507,0.010493,0.037582,0.98,0.02,0.0031,0.186688,2000
T20_pw0.85_pc0.7_h0.175,20,0.85,0.7,0.175,-0.15,B_naive_offdiag_pairwise,-0.139507,0.010493,0.037582,0.727,0.273,0.01,0.085869,2000
T20_pw0.85_pc0.7_h0.175,20,0.85,0.7,0.175,-0.15,C_diagonal_contaminated_cluster,-0.175383,-0.025383,0.034591,0.883,0.117,0.0072,0.16511,2000
T20_pw0.85_pc0.7_h0.25,20,0.85,0.7,0.25,-0.15,A_proposed_offdiag_cluster,-0.127914,0.022086,0.046296,0.949,0.051,0.0049,0.210823,2000
T20_pw0.85_pc0.7_h0.25,20,0.85,0.7,0.25,-0.15,B_naive_offdiag_pairwise,-0.127914,0.022086,0.046296,0.594,0.406,0.011,0.08754,2000
