property,candidate,policy,W_A,C_AB,delta,ci_lower,ci_upper,verdict,n_within_pairs,n_cross_pairs,invalid_incumbent_runs,invalid_candidate_runs,invalid_fraction,frozen_delta,frozen_verdict,delta_vs_frozen,sign_matches_frozen,verdict_matches_frozen
label_agreement,gpt-5.4-2026-03-05,A_frozen,0.928571,0.86375,-0.064821,-0.135836,-0.003376,inconclusive,1680,2400,0,0,0.0,-0.064821,inconclusive,-0.0,True,True
label_agreement,gpt-5.4-2026-03-05,B_conservative_failure,0.928571,0.86375,-0.064821,-0.135836,-0.003376,inconclusive,1680,2400,0,0,0.0,-0.064821,inconclusive,-0.0,True,True
label_agreement,gpt-5.4-2026-03-05,C_complete_case,0.928571,0.86375,-0.064821,-0.135836,-0.003376,inconclusive,1680,2400,0,0,0.0,-0.064821,inconclusive,-0.0,True,True
cited_span_set_agreement,gpt-5.4-2026-03-05,A_frozen,0.855972,0.649057,-0.206916,-0.294979,-0.125336,rejected,1680,2400,0,0,0.0,-0.206916,rejected,0.0,True,True
cited_span_set_agreement,gpt-5.4-2026-03-05,B_conservative_failure,0.855972,0.649057,-0.206916,-0.294979,-0.125336,rejected,1680,2400,0,0,0.0,-0.206916,rejected,0.0,True,True
cited_span_set_agreement,gpt-5.4-2026-03-05,C_complete_case,0.855972,0.649057,-0.206916,-0.294979,-0.125336,rejected,1680,2400,0,0,0.0,-0.206916,rejected,0.0,True,True
extracted_span_set_agreement,gpt-5.4-2026-03-05,A_frozen,0.853304,0.62854,-0.224764,-0.313697,-0.141568,rejected,1680,2400,0,0,0.0,-0.224764,rejected,0.0,True,True
extracted_span_set_agreement,gpt-5.4-2026-03-05,B_conservative_failure,0.853304,0.62854,-0.224764,-0.313697,-0.141568,rejected,1680,2400,0,0,0.0,-0.224764,rejected,0.0,True,True
extracted_span_set_agreement,gpt-5.4-2026-03-05,C_complete_case,0.853304,0.62854,-0.224764,-0.313697,-0.141568,rejected,1680,2400,0,0,0.0,-0.224764,rejected,0.0,True,True
label_agreement,gemini-2.5-pro,A_frozen,0.928571,0.805,-0.123571,-0.202197,-0.051786,rejected,1680,2400,0,0,0.0,-0.123571,rejected,-0.0,True,True
label_agreement,gemini-2.5-pro,B_conservative_failure,0.928571,0.805,-0.123571,-0.202197,-0.051786,rejected,1680,2400,0,0,0.0,-0.123571,rejected,-0.0,True,True
label_agreement,gemini-2.5-pro,C_complete_case,0.928571,0.805,-0.123571,-0.202197,-0.051786,rejected,1680,2400,0,0,0.0,-0.123571,rejected,-0.0,True,True
cited_span_set_agreement,gemini-2.5-pro,A_frozen,0.855972,0.65044,-0.205532,-0.290089,-0.12522,rejected,1680,2400,0,0,0.0,-0.205532,rejected,0.0,True,True
cited_span_set_agreement,gemini-2.5-pro,B_conservative_failure,0.855972,0.65044,-0.205532,-0.290089,-0.12522,rejected,1680,2400,0,0,0.0,-0.205532,rejected,0.0,True,True
cited_span_set_agreement,gemini-2.5-pro,C_complete_case,0.855972,0.65044,-0.205532,-0.290089,-0.12522,rejected,1680,2400,0,0,0.0,-0.205532,rejected,0.0,True,True
extracted_span_set_agreement,gemini-2.5-pro,A_frozen,0.853304,0.633038,-0.220266,-0.309338,-0.134832,rejected,1680,2400,0,1,0.001282,-0.220266,rejected,0.0,True,True
extracted_span_set_agreement,gemini-2.5-pro,B_conservative_failure,0.853304,0.633038,-0.220266,-0.309338,-0.134832,rejected,1680,2400,0,1,0.001282,-0.220266,rejected,0.0,True,True
extracted_span_set_agreement,gemini-2.5-pro,C_complete_case,0.853304,0.635155,-0.218149,-0.306756,-0.133633,rejected,1680,2392,0,1,0.001282,-0.220266,rejected,0.002117,True,True
label_agreement,amazon.nova-pro-v1-0,A_frozen,0.928571,0.832083,-0.096488,-0.168764,-0.033228,inconclusive,1680,2400,0,0,0.0,-0.096488,inconclusive,-0.0,True,True
label_agreement,amazon.nova-pro-v1-0,B_conservative_failure,0.928571,0.832083,-0.096488,-0.168764,-0.033228,inconclusive,1680,2400,0,0,0.0,-0.096488,inconclusive,-0.0,True,True
label_agreement,amazon.nova-pro-v1-0,C_complete_case,0.928571,0.832083,-0.096488,-0.168764,-0.033228,inconclusive,1680,2400,0,0,0.0,-0.096488,inconclusive,-0.0,True,True
cited_span_set_agreement,amazon.nova-pro-v1-0,A_frozen,0.855972,0.573757,-0.282215,-0.376139,-0.189714,rejected,1680,2400,0,0,0.0,-0.282215,rejected,-0.0,True,True
cited_span_set_agreement,amazon.nova-pro-v1-0,B_conservative_failure,0.855972,0.573757,-0.282215,-0.376139,-0.189714,rejected,1680,2400,0,0,0.0,-0.282215,rejected,-0.0,True,True
cited_span_set_agreement,amazon.nova-pro-v1-0,C_complete_case,0.855972,0.573757,-0.282215,-0.376139,-0.189714,rejected,1680,2400,0,0,0.0,-0.282215,rejected,-0.0,True,True
extracted_span_set_agreement,amazon.nova-pro-v1-0,A_frozen,0.853304,0.701014,-0.15229,-0.232719,-0.07593,rejected,1680,2400,0,0,0.0,-0.15229,rejected,0.0,True,True
extracted_span_set_agreement,amazon.nova-pro-v1-0,B_conservative_failure,0.853304,0.701014,-0.15229,-0.232719,-0.07593,rejected,1680,2400,0,0,0.0,-0.15229,rejected,0.0,True,True
extracted_span_set_agreement,amazon.nova-pro-v1-0,C_complete_case,0.853304,0.701014,-0.15229,-0.232719,-0.07593,rejected,1680,2400,0,0,0.0,-0.15229,rejected,0.0,True,True
label_agreement,meta.llama4-maverick-17b-instruct-v1-0,A_frozen,0.928571,0.799583,-0.128988,-0.214917,-0.05281,rejected,1680,2400,0,0,0.0,-0.128988,rejected,-0.0,True,True
label_agreement,meta.llama4-maverick-17b-instruct-v1-0,B_conservative_failure,0.928571,0.799583,-0.128988,-0.214917,-0.05281,rejected,1680,2400,0,0,0.0,-0.128988,rejected,-0.0,True,True
label_agreement,meta.llama4-maverick-17b-instruct-v1-0,C_complete_case,0.928571,0.799583,-0.128988,-0.214917,-0.05281,rejected,1680,2400,0,0,0.0,-0.128988,rejected,-0.0,True,True
cited_span_set_agreement,meta.llama4-maverick-17b-instruct-v1-0,A_frozen,0.855972,0.452903,-0.403069,-0.508555,-0.297762,rejected,1680,2400,0,0,0.0,-0.403069,rejected,-0.0,True,True
cited_span_set_agreement,meta.llama4-maverick-17b-instruct-v1-0,B_conservative_failure,0.855972,0.452903,-0.403069,-0.508555,-0.297762,rejected,1680,2400,0,0,0.0,-0.403069,rejected,-0.0,True,True
cited_span_set_agreement,meta.llama4-maverick-17b-instruct-v1-0,C_complete_case,0.855972,0.452903,-0.403069,-0.508555,-0.297762,rejected,1680,2400,0,0,0.0,-0.403069,rejected,-0.0,True,True
extracted_span_set_agreement,meta.llama4-maverick-17b-instruct-v1-0,A_frozen,0.853304,0.531653,-0.321651,-0.419892,-0.224754,rejected,1680,2400,0,0,0.0,-0.321651,rejected,0.0,True,True
extracted_span_set_agreement,meta.llama4-maverick-17b-instruct-v1-0,B_conservative_failure,0.853304,0.531653,-0.321651,-0.419892,-0.224754,rejected,1680,2400,0,0,0.0,-0.321651,rejected,0.0,True,True
extracted_span_set_agreement,meta.llama4-maverick-17b-instruct-v1-0,C_complete_case,0.853304,0.531653,-0.321651,-0.419892,-0.224754,rejected,1680,2400,0,0,0.0,-0.321651,rejected,0.0,True,True
