pipeline,property,candidate,n_oracles,W_A,C_AB_all_reps,oracle_mean,oracle_min,oracle_max,oracle_range,oracle_sd,identity_residual,delta_min,delta_max,delta_range,distinct_verdicts,verdict_fractions
P1,M1.technical_execution,gpt-5.4-2026-03-05,8,0.884638,0.880268,0.880148,0.871186,0.903333,0.032147,0.01345,0.000119552,-0.013452,0.018695,0.032147,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.delivery_consistency,gpt-5.4-2026-03-05,8,0.853855,0.713155,0.712881,0.681667,0.765,0.083333,0.029124,0.000273406,-0.172188,-0.088855,0.083333,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.collaboration,gpt-5.4-2026-03-05,8,0.831441,0.467917,0.468715,0.44,0.518333,0.078333,0.025359,0.000798023,-0.391441,-0.313108,0.078333,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.impact,gpt-5.4-2026-03-05,8,0.690974,0.58619,0.586684,0.553333,0.616667,0.063333,0.023335,0.000493846,-0.137641,-0.074307,0.063333,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.opportunity_multiset,gpt-5.4-2026-03-05,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.opportunity_sequence,gpt-5.4-2026-03-05,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.strengths,gpt-5.4-2026-03-05,8,0.104677,0.039997,0.039989,0.03146,0.049897,0.018437,0.006573,8.012e-06,-0.073217,-0.05478,0.018437,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.opportunities,gpt-5.4-2026-03-05,8,0.123477,0.059441,0.059519,0.050476,0.06923,0.018754,0.007534,7.7364e-05,-0.073001,-0.054247,0.018754,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.risks,gpt-5.4-2026-03-05,8,0.0395,0.011861,0.011822,0.006944,0.019167,0.012222,0.004527,3.9548e-05,-0.032556,-0.020333,0.012222,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.recommendations,gpt-5.4-2026-03-05,8,0.090826,0.052324,0.052324,0.049835,0.057081,0.007246,0.00253,0.0,-0.040991,-0.033745,0.007246,1,"{""no_declared_tolerance"": 1.0}"
